Municipios;Periodo;Total
08001 Abrera;2022;12697
08001 Abrera;2021;12620
08001 Abrera;2020;12538
08002 Aguilar de Segarra;2022;287
08002 Aguilar de Segarra;2021;286
08002 Aguilar de Segarra;2020;282
08014 Aiguafreda;2022;2552
08014 Aiguafreda;2021;2556
08014 Aiguafreda;2020;2512
08003 Alella;2022;10079
08003 Alella;2021;9954
08003 Alella;2020;9904
08004 Alpens;2022;281
08004 Alpens;2021;269
08004 Alpens;2020;261
08005 Ametlla del Vallès, L';2022;9020
08005 Ametlla del Vallès, L';2021;8787
08005 Ametlla del Vallès, L';2020;8646
08006 Arenys de Mar;2022;16155
08006 Arenys de Mar;2021;15942
08006 Arenys de Mar;2020;15941
08007 Arenys de Munt;2022;9278
08007 Arenys de Munt;2021;9191
08007 Arenys de Munt;2020;9121
08008 Argençola;2022;216
08008 Argençola;2021;220
08008 Argençola;2020;219
08009 Argentona;2022;12745
08009 Argentona;2021;12629
08009 Argentona;2020;12536
08010 Artés;2022;5902
08010 Artés;2021;5782
08010 Artés;2020;5762
08011 Avià;2022;2237
08011 Avià;2021;2199
08011 Avià;2020;2220
08012 Avinyó;2022;2270
08012 Avinyó;2021;2286
08012 Avinyó;2020;2289
08013 Avinyonet del Penedès;2022;1706
08013 Avinyonet del Penedès;2021;1701
08013 Avinyonet del Penedès;2020;1697
08015 Badalona;2022;223506
08015 Badalona;2021;223006
08015 Badalona;2020;223166
08904 Badia del Vallès;2022;13163
08904 Badia del Vallès;2021;13228
08904 Badia del Vallès;2020;13415
08016 Bagà;2022;2167
08016 Bagà;2021;2145
08016 Bagà;2020;2140
08017 Balenyà;2022;3948
08017 Balenyà;2021;3900
08017 Balenyà;2020;3840
08018 Balsareny;2022;3249
08018 Balsareny;2021;3278
08018 Balsareny;2020;3192
08252 Barberà del Vallès;2022;33082
08252 Barberà del Vallès;2021;33016
08252 Barberà del Vallès;2020;33334
08019 Barcelona;2022;1636193
08019 Barcelona;2021;1636732
08019 Barcelona;2020;1664182
08020 Begues;2022;7450
08020 Begues;2021;7356
08020 Begues;2020;7300
08021 Bellprat;2022;74
08021 Bellprat;2021;73
08021 Bellprat;2020;64
08022 Berga;2022;16762
08022 Berga;2021;16682
08022 Berga;2020;16760
08023 Bigues i Riells del Fai;2022;9757
08023 Bigues i Riells del Fai;2021;9542
08023 Bigues i Riells del Fai;2020;9358
08024 Borredà;2022;448
08024 Borredà;2021;455
08024 Borredà;2020;464
08025 Bruc, El;2022;2218
08025 Bruc, El;2021;2177
08025 Bruc, El;2020;2110
08026 Brull, El;2022;278
08026 Brull, El;2021;275
08026 Brull, El;2020;258
08027 Cabanyes, Les;2022;999
08027 Cabanyes, Les;2021;1005
08027 Cabanyes, Les;2020;979
08028 Cabrera d'Anoia;2022;1606
08028 Cabrera d'Anoia;2021;1521
08028 Cabrera d'Anoia;2020;1482
08029 Cabrera de Mar;2022;4848
08029 Cabrera de Mar;2021;4787
08029 Cabrera de Mar;2020;4747
08030 Cabrils;2022;7729
08030 Cabrils;2021;7567
08030 Cabrils;2020;7432
08031 Calaf;2022;3590
08031 Calaf;2021;3597
08031 Calaf;2020;3656
08034 Calders;2022;1101
08034 Calders;2021;1063
08034 Calders;2020;1045
08033 Caldes de Montbui;2022;17932
08033 Caldes de Montbui;2021;17797
08033 Caldes de Montbui;2020;17812
08032 Caldes d'Estrac;2022;3148
08032 Caldes d'Estrac;2021;3097
08032 Caldes d'Estrac;2020;3021
08035 Calella;2022;19363
08035 Calella;2021;19236
08035 Calella;2020;19277
08037 Calldetenes;2022;2532
08037 Calldetenes;2021;2504
08037 Calldetenes;2020;2513
08038 Callús;2022;2122
08038 Callús;2021;2098
08038 Callús;2020;2129
08036 Calonge de Segarra;2022;195
08036 Calonge de Segarra;2021;194
08036 Calonge de Segarra;2020;188
08039 Campins;2022;557
08039 Campins;2021;540
08039 Campins;2020;541
08040 Canet de Mar;2022;14845
08040 Canet de Mar;2021;14810
08040 Canet de Mar;2020;14865
08041 Canovelles;2022;16761
08041 Canovelles;2021;16872
08041 Canovelles;2020;16829
08042 Cànoves i Samalús;2022;3289
08042 Cànoves i Samalús;2021;3219
08042 Cànoves i Samalús;2020;3156
08043 Canyelles;2022;5007
08043 Canyelles;2021;4886
08043 Canyelles;2020;4699
08044 Capellades;2022;5344
08044 Capellades;2021;5314
08044 Capellades;2020;5342
08045 Capolat;2022;89
08045 Capolat;2021;84
08045 Capolat;2020;84
08046 Cardedeu;2022;18785
08046 Cardedeu;2021;18609
08046 Cardedeu;2020;18424
08047 Cardona;2022;4575
08047 Cardona;2021;4593
08047 Cardona;2020;4639
08048 Carme;2022;754
08048 Carme;2021;768
08048 Carme;2020;785
08049 Casserres;2022;1646
08049 Casserres;2021;1636
08049 Casserres;2020;1588
08057 Castell de l'Areny;2022;69
08057 Castell de l'Areny;2021;72
08057 Castell de l'Areny;2020;67
08052 Castellar de n'Hug;2022;176
08052 Castellar de n'Hug;2021;167
08052 Castellar de n'Hug;2020;156
08050 Castellar del Riu;2022;175
08050 Castellar del Riu;2021;171
08050 Castellar del Riu;2020;176
08051 Castellar del Vallès;2022;24933
08051 Castellar del Vallès;2021;24659
08051 Castellar del Vallès;2020;24488
08053 Castellbell i el Vilar;2022;3889
08053 Castellbell i el Vilar;2021;3853
08053 Castellbell i el Vilar;2020;3719
08054 Castellbisbal;2022;12735
08054 Castellbisbal;2021;12610
08054 Castellbisbal;2020;12539
08055 Castellcir;2022;778
08055 Castellcir;2021;753
08055 Castellcir;2020;742
08056 Castelldefels;2022;67307
08056 Castelldefels;2021;67226
08056 Castelldefels;2020;67460
08058 Castellet i la Gornal;2022;2474
08058 Castellet i la Gornal;2021;2452
08058 Castellet i la Gornal;2020;2382
08060 Castellfollit de Riubregós;2022;159
08060 Castellfollit de Riubregós;2021;163
08060 Castellfollit de Riubregós;2020;162
08059 Castellfollit del Boix;2022;460
08059 Castellfollit del Boix;2021;448
08059 Castellfollit del Boix;2020;447
08061 Castellgalí;2022;2236
08061 Castellgalí;2021;2179
08061 Castellgalí;2020;2119
08062 Castellnou de Bages;2022;1431
08062 Castellnou de Bages;2021;1420
08062 Castellnou de Bages;2020;1437
08063 Castellolí;2022;636
08063 Castellolí;2021;653
08063 Castellolí;2020;626
08064 Castellterçol;2022;2655
08064 Castellterçol;2021;2632
08064 Castellterçol;2020;2548
08065 Castellví de la Marca;2022;1614
08065 Castellví de la Marca;2021;1597
08065 Castellví de la Marca;2020;1575
08066 Castellví de Rosanes;2022;2096
08066 Castellví de Rosanes;2021;1996
08066 Castellví de Rosanes;2020;1933
08067 Centelles;2022;7641
08067 Centelles;2021;7595
