Municipios;Periodo;Total
17001 Agullana;2022;903
17001 Agullana;2021;885
17001 Agullana;2020;863
17002 Aiguaviva;2022;780
17002 Aiguaviva;2021;789
17002 Aiguaviva;2020;765
17003 Albanyà;2022;180
17003 Albanyà;2021;178
17003 Albanyà;2020;155
17004 Albons;2022;797
17004 Albons;2021;798
17004 Albons;2020;759
17006 Alp;2022;1717
17006 Alp;2021;1645
17006 Alp;2020;1593
17007 Amer;2022;2422
17007 Amer;2021;2383
17007 Amer;2020;2332
17008 Anglès;2022;5682
17008 Anglès;2021;5709
17008 Anglès;2020;5654
17009 Arbúcies;2022;6474
17009 Arbúcies;2021;6507
17009 Arbúcies;2020;6608
17010 Argelaguer;2022;439
17010 Argelaguer;2021;417
17010 Argelaguer;2020;396
17011 Armentera, L';2022;1043
17011 Armentera, L';2021;998
17011 Armentera, L';2020;951
17012 Avinyonet de Puigventós;2022;1676
17012 Avinyonet de Puigventós;2021;1657
17012 Avinyonet de Puigventós;2020;1641
17015 Banyoles;2022;20187
17015 Banyoles;2021;20168
17015 Banyoles;2020;20053
17016 Bàscara;2022;1034
17016 Bàscara;2021;1015
17016 Bàscara;2020;1001
17013 Begur;2022;4177
17013 Begur;2021;4039
17013 Begur;2020;3891
17018 Bellcaire d'Empordà;2022;713
17018 Bellcaire d'Empordà;2021;699
17018 Bellcaire d'Empordà;2020;678
17019 Besalú;2022;2480
17019 Besalú;2021;2502
17019 Besalú;2020;2487
17020 Bescanó;2022;5156
17020 Bescanó;2021;5094
17020 Bescanó;2020;4991
17021 Beuda;2022;202
17021 Beuda;2021;187
17021 Beuda;2020;186
17022 Bisbal d'Empordà, La;2022;11163
17022 Bisbal d'Empordà, La;2021;11190
17022 Bisbal d'Empordà, La;2020;11159
17234 Biure;2022;249
17234 Biure;2021;244
17234 Biure;2020;241
17023 Blanes;2022;40579
17023 Blanes;2021;40274
17023 Blanes;2020;39914
17029 Boadella i les Escaules;2022;258
17029 Boadella i les Escaules;2021;271
17029 Boadella i les Escaules;2020;272
17024 Bolvir;2022;518
17024 Bolvir;2021;489
17024 Bolvir;2020;375
17025 Bordils;2022;1815
17025 Bordils;2021;1796
17025 Bordils;2020;1761
17026 Borrassà;2022;776
17026 Borrassà;2021;752
17026 Borrassà;2020;733
17027 Breda;2022;3842
17027 Breda;2021;3836
17027 Breda;2020;3762
17028 Brunyola i Sant Martí Sapresa;2022;388
17028 Brunyola i Sant Martí Sapresa;2021;390
17028 Brunyola i Sant Martí Sapresa;2020;389
17031 Cabanelles;2022;279
17031 Cabanelles;2021;266
17031 Cabanelles;2020;267
17030 Cabanes;2022;949
17030 Cabanes;2021;941
17030 Cabanes;2020;968
17032 Cadaqués;2022;2889
17032 Cadaqués;2021;2820
17032 Cadaqués;2020;2695
17033 Caldes de Malavella;2022;8196
17033 Caldes de Malavella;2021;8051
17033 Caldes de Malavella;2020;7872
17034 Calonge i Sant Antoni;2022;11712
17034 Calonge i Sant Antoni;2021;11484
17034 Calonge i Sant Antoni;2020;11331
17035 Camós;2022;715
17035 Camós;2021;711
17035 Camós;2020;677
17036 Campdevànol;2022;3217
17036 Campdevànol;2021;3225
17036 Campdevànol;2020;3232
17037 Campelles;2022;162
17037 Campelles;2021;149
17037 Campelles;2020;140
17038 Campllong;2022;535
17038 Campllong;2021;533
17038 Campllong;2020;537
17039 Camprodon;2022;2469
17039 Camprodon;2021;2435
17039 Camprodon;2020;2298
17040 Canet d'Adri;2022;750
17040 Canet d'Adri;2021;749
17040 Canet d'Adri;2020;729
17041 Cantallops;2022;330
17041 Cantallops;2021;305
17041 Cantallops;2020;309
17042 Capmany;2022;672
17042 Capmany;2021;618
17042 Capmany;2020;611
17044 Cassà de la Selva;2022;10680
17044 Cassà de la Selva;2021;10505
17044 Cassà de la Selva;2020;10410
17046 Castellfollit de la Roca;2022;926
17046 Castellfollit de la Roca;2021;939
17046 Castellfollit de la Roca;2020;947
17047 Castelló d'Empúries;2022;11611
17047 Castelló d'Empúries;2021;11154
17047 Castelló d'Empúries;2020;11100
17048 Castell-Platja d'Aro;2022;11757
17048 Castell-Platja d'Aro;2021;11455
17048 Castell-Platja d'Aro;2020;11030
17189 Cellera de Ter, La;2022;1967
17189 Cellera de Ter, La;2021;1973
17189 Cellera de Ter, La;2020;1950
17049 Celrà;2022;5503
17049 Celrà;2021;5606
17049 Celrà;2020;5561
17050 Cervià de Ter;2022;999
17050 Cervià de Ter;2021;973
17050 Cervià de Ter;2020;966
17051 Cistella;2022;307
17051 Cistella;2021;282
17051 Cistella;2020;282
17054 Colera;2022;468
17054 Colera;2021;462
17054 Colera;2020;445
17055 Colomers;2022;204
17055 Colomers;2021;188
17055 Colomers;2020;174
17057 Corçà;2022;1268
17057 Corçà;2021;1275
17057 Corçà;2020;1268
17056 Cornellà del Terri;2022;2407
17056 Cornellà del Terri;2021;2422
17056 Cornellà del Terri;2020;2399
17058 Crespià;2022;276
17058 Crespià;2021;270
17058 Crespià;2020;254
17901 Cruïlles, Monells i Sant Sadurní de l'Heura;2022;1338
17901 Cruïlles, Monells i Sant Sadurní de l'Heura;2021;1327
17901 Cruïlles, Monells i Sant Sadurní de l'Heura;2020;1270
17060 Darnius;2022;535
17060 Darnius;2021;540
17060 Darnius;2020;537
17061 Das;2022;267
17061 Das;2021;248
17061 Das;2020;234
17062 Escala, L';2022;10520
17062 Escala, L';2021;10497
17062 Escala, L';2020;10244
17063 Espinelves;2022;248
17063 Espinelves;2021;239
17063 Espinelves;2020;221
17064 Espolla;2022;408
17064 Espolla;2021;412
17064 Espolla;2020;412
17065 Esponellà;2022;489
17065 Esponellà;2021;469
17065 Esponellà;2020;463
17005 Far d'Empordà, El;2022;625
17005 Far d'Empordà, El;2021;619
17005 Far d'Empordà, El;2020;602
17066 Figueres;2022;47088
17066 Figueres;2021;47043
17066 Figueres;2020;47235
17067 Flaçà;2022;1130
17067 Flaçà;2021;1147
17067 Flaçà;2020;1130
17068 Foixà;2022;288
17068 Foixà;2021;299
17068 Foixà;2020;303
17069 Fontanals de Cerdanya;2022;533
17069 Fontanals de Cerdanya;2021;506
17069 Fontanals de Cerdanya;2020;437
17070 Fontanilles;2022;163
17070 Fontanilles;2021;157
17070 Fontanilles;2020;146
17071 Fontcoberta;2022;1466
17071 Fontcoberta;2021;1468
17071 Fontcoberta;2020;1469
17902 Forallac;2022;1765
17902 Forallac;2021;1708
17902 Forallac;2020;1695
17073 Fornells de la Selva;2022;2693
17073 Fornells de la Selva;2021;2700
17073 Fornells de la Selva;2020;2670
17074 Fortià;2022;778
17074 Fortià;2021;793
17074 Fortià;2020;787
17075 Garrigàs;2022;458
17075 Garrigàs;2021;464
17075 Garrigàs;2020;451
17076 Garrigoles;2022;177
17076 Garrigoles;2021;170
17076 Garrigoles;2020;167
17077 Garriguella;2022;922
17077 Garriguella;2021;909
17077 Garriguella;2020;853
17078 Ger;2022;512
17078 Ger;2021;502
17078 Ger;2020;449
17079 Girona;2022;102666
17079 Girona;2021;101932
17079 Girona;2020;103369
17080 Gombrèn;2022;200
17080 Gombrèn;2021;196
17080 Gombrèn;2020;192
17081 Gualta;2022;439
17081 Gualta;2021;421
17081 Gualta;2020;402
17082 Guils de Cerdanya;2022;573
17082 Guils de Cerdanya;2021;588
17082 Guils de Cerdanya;2020;549
17083 Hostalric;2022;4370
17083 Hostalric;2021;4332
17083 Hostalric;2020;4291
17084 Isòvol;2022;318
17084 Isòvol;2021;314
17084 Isòvol;2020;281
17085 Jafre;2022;386
17085 Jafre;2021;382
17085 Jafre;2020;387
17086 Jonquera, La;2022;3317
17086 Jonquera, La;2021;3340
17086 Jonquera, La;2020;3320
17087 Juià;2022;334
17087 Juià;2021;327
17087 Juià;2020;319
17088 Lladó;2022;827
