Municipios;Periodo;Total
25001 Abella de la Conca;2022;167
25001 Abella de la Conca;2021;171
25001 Abella de la Conca;2020;183
25002 Àger;2022;580
25002 Àger;2021;588
25002 Àger;2020;580
25003 Agramunt;2022;5479
25003 Agramunt;2021;5464
25003 Agramunt;2020;5411
25038 Aitona;2022;2521
25038 Aitona;2021;2493
25038 Aitona;2020;2567
25004 Alamús, Els;2022;781
25004 Alamús, Els;2021;773
25004 Alamús, Els;2020;811
25005 Alàs i Cerc;2022;329
25005 Alàs i Cerc;2021;322
25005 Alàs i Cerc;2020;320
25006 Albagés, L';2022;348
25006 Albagés, L';2021;357
25006 Albagés, L';2020;361
25007 Albatàrrec;2022;2217
25007 Albatàrrec;2021;2224
25007 Albatàrrec;2020;2236
25008 Albesa;2022;1579
25008 Albesa;2021;1561
25008 Albesa;2020;1561
25009 Albi, L';2022;755
25009 Albi, L';2021;749
25009 Albi, L';2020;744
25010 Alcanó;2022;240
25010 Alcanó;2021;233
25010 Alcanó;2020;238
25011 Alcarràs;2022;9637
25011 Alcarràs;2021;9678
25011 Alcarràs;2020;9707
25012 Alcoletge;2022;3470
25012 Alcoletge;2021;3492
25012 Alcoletge;2020;3435
25013 Alfarràs;2022;2795
25013 Alfarràs;2021;2759
25013 Alfarràs;2020;2765
25014 Alfés;2022;300
25014 Alfés;2021;301
25014 Alfés;2020;297
25015 Algerri;2022;422
25015 Algerri;2021;423
25015 Algerri;2020;404
25016 Alguaire;2022;3040
25016 Alguaire;2021;3065
25016 Alguaire;2020;3029
25017 Alins;2022;285
25017 Alins;2021;279
25017 Alins;2020;272
25019 Almacelles;2022;6922
25019 Almacelles;2021;6875
25019 Almacelles;2020;6826
25020 Almatret;2022;302
25020 Almatret;2021;310
25020 Almatret;2020;305
25021 Almenar;2022;3401
25021 Almenar;2021;3365
25021 Almenar;2020;3357
25022 Alòs de Balaguer;2022;121
25022 Alòs de Balaguer;2021;122
25022 Alòs de Balaguer;2020;132
25023 Alpicat;2022;6333
25023 Alpicat;2021;6274
25023 Alpicat;2020;6266
25024 Alt Àneu;2022;441
