Municipios;Periodo;Total
43001 Aiguamúrcia;2022;961
43001 Aiguamúrcia;2021;960
43001 Aiguamúrcia;2020;930
43002 Albinyana;2022;2581
43002 Albinyana;2021;2504
43002 Albinyana;2020;2468
43003 Albiol, L';2022;528
43003 Albiol, L';2021;515
43003 Albiol, L';2020;500
43004 Alcanar;2022;9612
43004 Alcanar;2021;9579
43004 Alcanar;2020;9434
43005 Alcover;2022;5290
43005 Alcover;2021;5185
43005 Alcover;2020;5144
43904 Aldea, L';2022;4332
43904 Aldea, L';2021;4160
43904 Aldea, L';2020;4147
43006 Aldover;2022;862
43006 Aldover;2021;911
43006 Aldover;2020;905
43007 Aleixar, L';2022;924
43007 Aleixar, L';2021;912
43007 Aleixar, L';2020;893
43008 Alfara de Carles;2022;359
43008 Alfara de Carles;2021;376
43008 Alfara de Carles;2020;376
43009 Alforja;2022;1928
43009 Alforja;2021;1843
43009 Alforja;2020;1783
43010 Alió;2022;496
43010 Alió;2021;478
43010 Alió;2020;458
43011 Almoster;2022;1334
43011 Almoster;2021;1322
43011 Almoster;2020;1341
43012 Altafulla;2022;5609
43012 Altafulla;2021;5512
43012 Altafulla;2020;5307
43013 Ametlla de Mar, L';2022;7209
43013 Ametlla de Mar, L';2021;7131
43013 Ametlla de Mar, L';2020;6866
43906 Ampolla, L';2022;3563
43906 Ampolla, L';2021;3444
43906 Ampolla, L';2020;3277
43014 Amposta;2022;21807
43014 Amposta;2021;21317
43014 Amposta;2020;21115
43016 Arboç, L';2022;5604
43016 Arboç, L';2021;5625
43016 Arboç, L';2020;5609
43015 Arbolí;2022;122
43015 Arbolí;2021;126
43015 Arbolí;2020;127
43017 Argentera, L';2022;126
43017 Argentera, L';2021;126
43017 Argentera, L';2020;117
43018 Arnes;2022;448
43018 Arnes;2021;441
43018 Arnes;2020;444
43019 Ascó;2022;1601
43019 Ascó;2021;1611
43019 Ascó;2020;1644
43020 Banyeres del Penedès;2022;3271
43020 Banyeres del Penedès;2021;3280
43020 Banyeres del Penedès;2020;3207
43021 Barberà de la Conca;2022;486
43021 Barberà de la Conca;2021;472
43021 Barberà de la Conca;2020;471
43022 Batea;2022;1863
43022 Batea;2021;1879
43022 Batea;2020;1901
43023 Bellmunt del Priorat;2022;272
43023 Bellmunt del Priorat;2021;281
43023 Bellmunt del Priorat;2020;273
43024 Bellvei;2022;2346
43024 Bellvei;2021;2303
43024 Bellvei;2020;2237
43025 Benifallet;2022;739
43025 Benifallet;2021;741
43025 Benifallet;2020;723
43026 Benissanet;2022;1169
43026 Benissanet;2021;1129
43026 Benissanet;2020;1140
43027 Bisbal de Falset, La;2022;219
43027 Bisbal de Falset, La;2021;218
43027 Bisbal de Falset, La;2020;211
43028 Bisbal del Penedès, La;2022;4062
43028 Bisbal del Penedès, La;2021;3830
43028 Bisbal del Penedès, La;2020;3631
43029 Blancafort;2022;394
43029 Blancafort;2021;398
43029 Blancafort;2020;382
43030 Bonastre;2022;742
43030 Bonastre;2021;727
43030 Bonastre;2020;685
43031 Borges del Camp, Les;2022;2148
43031 Borges del Camp, Les;2021;2104
43031 Borges del Camp, Les;2020;2056
43032 Bot;2022;566
43032 Bot;2021;566
43032 Bot;2020;554
43033 Botarell;2022;1102
43033 Botarell;2021;1094
43033 Botarell;2020;1077
43034 Bràfim;2022;687
43034 Bràfim;2021;695
43034 Bràfim;2020;695
43035 Cabacés;2022;304
43035 Cabacés;2021;312
43035 Cabacés;2020;302
43036 Cabra del Camp;2022;1254
43036 Cabra del Camp;2021;1230
43036 Cabra del Camp;2020;1175
43037 Calafell;2022;29102
43037 Calafell;2021;28463
43037 Calafell;2020;27601
43903 Camarles;2022;3309
43903 Camarles;2021;3220
43903 Camarles;2020;3194
43038 Cambrils;2022;35675
43038 Cambrils;2021;35064
43038 Cambrils;2020;34734
43907 Canonja, La;2022;5873
43907 Canonja, La;2021;5933
43907 Canonja, La;2020;5956
43039 Capafonts;2022;121
43039 Capafonts;2021;125
43039 Capafonts;2020;111
43040 Capçanes;2022;407
43040 Capçanes;2021;394
43040 Capçanes;2020;392
43041 Caseres;2022;233
43041 Caseres;2021;226
43041 Caseres;2020;237
43042 Castellvell del Camp;2022;2946
43042 Castellvell del Camp;2021;2873
43042 Castellvell del Camp;2020;2828
43043 Catllar, El;2022;4921
43043 Catllar, El;2021;4740
43043 Catllar, El;2020;4557
43045 Colldejou;2022;172
43045 Colldejou;2021;167
43045 Colldejou;2020;168
43046 Conesa;2022;109
43046 Conesa;2021;106
43046 Conesa;2020;100
43047 Constantí;2022;6685
43047 Constantí;2021;6724
43047 Constantí;2020;6665
43048 Corbera d'Ebre;2022;993
43048 Corbera d'Ebre;2021;981
43048 Corbera d'Ebre;2020;1003
43049 Cornudella de Montsant;2022;978
43049 Cornudella de Montsant;2021;965
43049 Cornudella de Montsant;2020;944
43050 Creixell;2022;3981
43050 Creixell;2021;3912
43050 Creixell;2020;3758
43051 Cunit;2022;14622
43051 Cunit;2021;14081
43051 Cunit;2020;13533
43901 Deltebre;2022;11656
43901 Deltebre;2021;11539
43901 Deltebre;2020;11578
43053 Duesaigües;2022;232
43053 Duesaigües;2021;234
43053 Duesaigües;2020;244
43054 Espluga de Francolí, L';2022;3698
43054 Espluga de Francolí, L';2021;3717
43054 Espluga de Francolí, L';2020;3736
43055 Falset;2022;2740
43055 Falset;2021;2724
43055 Falset;2020;2735
43056 Fatarella, La;2022;891
43056 Fatarella, La;2021;917
43056 Fatarella, La;2020;926
43057 Febró, La;2022;39
43057 Febró, La;2021;41
43057 Febró, La;2020;40
43058 Figuera, La;2022;123
43058 Figuera, La;2021;117
43058 Figuera, La;2020;114
43059 Figuerola del Camp;2022;332
43059 Figuerola del Camp;2021;336
43059 Figuerola del Camp;2020;329
43060 Flix;2022;3426
43060 Flix;2021;3451
43060 Flix;2020;3410
43061 Forès;2022;48
43061 Forès;2021;48
43061 Forès;2020;43
43062 Freginals;2022;388
43062 Freginals;2021;391
43062 Freginals;2020;385
43063 Galera, La;2022;700
43063 Galera, La;2021;723
43063 Galera, La;2020;736
43064 Gandesa;2022;3100
43064 Gandesa;2021;3098
43064 Gandesa;2020;3096
43065 Garcia;2022;527
43065 Garcia;2021;535
43065 Garcia;2020;527
43066 Garidells, Els;2022;196
43066 Garidells, Els;2021;198
43066 Garidells, Els;2020;190
43067 Ginestar;2022;790
43067 Ginestar;2021;787
43067 Ginestar;2020;764
43068 Godall;2022;609
43068 Godall;2021;614
43068 Godall;2020;598
43069 Gratallops;2022;236
43069 Gratallops;2021;237
43069 Gratallops;2020;237
43070 Guiamets, Els;2022;279
43070 Guiamets, Els;2021;276
43070 Guiamets, Els;2020;278
43071 Horta de Sant Joan;2022;1154
43071 Horta de Sant Joan;2021;1138
43071 Horta de Sant Joan;2020;1146
43072 Lloar, El;2022;104
43072 Lloar, El;2021;111
43072 Lloar, El;2020;105
43073 Llorac;2022;96
43073 Llorac;2021;92
43073 Llorac;2020;91
43074 Llorenç del Penedès;2022;2393
43074 Llorenç del Penedès;2021;2381
43074 Llorenç del Penedès;2020;2395
43076 Marçà;2022;593
43076 Marçà;2021;612
43076 Marçà;2020;600
43075 Margalef;2022;107
43075 Margalef;2021;104
43075 Margalef;2020;106
43077 Mas de Barberans;2022;556
43077 Mas de Barberans;2021;572
43077 Mas de Barberans;2020;564
43078 Masdenverge;2022;1129
43078 Masdenverge;2021;1109
43078 Masdenverge;2020;1071
43079 Masllorenç;2022;547
43079 Masllorenç;2021;508
43079 Masllorenç;2020;505
43080 Masó, La;2022;285
43080 Masó, La;2021;283
43080 Masó, La;2020;280
43081 Maspujols;2022;859
43081 Maspujols;2021;826
43081 Maspujols;2020;823
43082 Masroig, El;2022;479
43082 Masroig, El;2021;499
43082 Masroig, El;2020;492
43083 Milà, El;2022;189
43083 Milà, El;2021;191
43083 Milà, El;2020;190
43084 Miravet;2022;682
43084 Miravet;2021;685
43084 Miravet;2020;706
43085 Molar, El;2022;296
43085 Molar, El;2021;298
43085 Molar, El;2020;291
43086 Montblanc;2022;7410
43086 Montblanc;2021;7433
43086 Montblanc;2020;7379
43088 Montbrió del Camp;2022;3073
43088 Montbrió del Camp;2021;2985
43088 Montbrió del Camp;2020;2909
