Periodo,Total,CP,Municipio
2022,12697,08001,ABRERA
2021,12620,08001,ABRERA
2020,12538,08001,ABRERA
2022,287,08002,AGUILAR DE SEGARRA
2021,286,08002,AGUILAR DE SEGARRA
2020,282,08002,AGUILAR DE SEGARRA
2022,2552,08014,AIGUAFREDA
2021,2556,08014,AIGUAFREDA
2020,2512,08014,AIGUAFREDA
2022,10079,08003,ALELLA
2021,9954,08003,ALELLA
2020,9904,08003,ALELLA
2022,281,08004,ALPENS
2021,269,08004,ALPENS
2020,261,08004,ALPENS
2022,9020,08005,AMETLLA DEL VALLÈS, L'
2021,8787,08005,AMETLLA DEL VALLÈS, L'
2020,8646,08005,AMETLLA DEL VALLÈS, L'
2022,16155,08006,ARENYS DE MAR
2021,15942,08006,ARENYS DE MAR
2020,15941,08006,ARENYS DE MAR
2022,9278,08007,ARENYS DE MUNT
2021,9191,08007,ARENYS DE MUNT
2020,9121,08007,ARENYS DE MUNT
2022,216,08008,ARGENÇOLA
2021,220,08008,ARGENÇOLA
2020,219,08008,ARGENÇOLA
2022,12745,08009,ARGENTONA
2021,12629,08009,ARGENTONA
2020,12536,08009,ARGENTONA
2022,5902,08010,ARTÉS
2021,5782,08010,ARTÉS
2020,5762,08010,ARTÉS
2022,2237,08011,AVIÀ
2021,2199,08011,AVIÀ
2020,2220,08011,AVIÀ
2022,2270,08012,AVINYÓ
2021,2286,08012,AVINYÓ
2020,2289,08012,AVINYÓ
2022,1706,08013,AVINYONET DEL PENEDÈS
2021,1701,08013,AVINYONET DEL PENEDÈS
2020,1697,08013,AVINYONET DEL PENEDÈS
2022,223506,08015,BADALONA
2021,223006,08015,BADALONA
2020,223166,08015,BADALONA
2022,13163,08904,BADÍA DEL VALLÈS
2021,13228,08904,BADÍA DEL VALLÈS
2020,13415,08904,BADÍA DEL VALLÈS
2022,2167,08016,BAGÀ
2021,2145,08016,BAGÀ
2020,2140,08016,BAGÀ
2022,3948,08017,BALENYÀ
2021,3900,08017,BALENYÀ
2020,3840,08017,BALENYÀ
2022,3249,08018,BALSARENY
2021,3278,08018,BALSARENY
2020,3192,08018,BALSARENY
2022,33082,08252,BARBERÀ DEL VALLÈS
2021,33016,08252,BARBERÀ DEL VALLÈS
2020,33334,08252,BARBERÀ DEL VALLÈS
2022,1636193,08019,BARCELONA
2021,1636732,08019,BARCELONA
2020,1664182,08019,BARCELONA
2022,7450,08020,BEGUES
2021,7356,08020,BEGUES
2020,7300,08020,BEGUES
2022,74,08021,BELLPRAT
2021,73,08021,BELLPRAT
2020,64,08021,BELLPRAT
2022,16762,08022,BERGA
2021,16682,08022,BERGA
2020,16760,08022,BERGA
2022,9757,08023,BIGUES I RIELLS DEL FAI
2021,9542,08023,BIGUES I RIELLS DEL FAI
2020,9358,08023,BIGUES I RIELLS DEL FAI
2022,448,08024,BORREDÀ
2021,455,08024,BORREDÀ
2020,464,08024,BORREDÀ
2022,2218,08025,EL BRUC
2021,2177,08025,EL BRUC
2020,2110,08025,EL BRUC
2022,278,08026,BRULL, EL
2021,275,08026,BRULL, EL
2020,258,08026,BRULL, EL
2022,999,08027,CABANYES, LES
2021,1005,08027,CABANYES, LES
2020,979,08027,CABANYES, LES
2022,1606,08028,CABRERA D'ANOIA
2021,1521,08028,CABRERA D'ANOIA
2020,1482,08028,CABRERA D'ANOIA
2022,4848,08029,CABRERA DE MAR
2021,4787,08029,CABRERA DE MAR
2020,4747,08029,CABRERA DE MAR
2022,7729,08030,CABRILS
2021,7567,08030,CABRILS
2020,7432,08030,CABRILS
2022,3590,08031,CALAF
2021,3597,08031,CALAF
2020,3656,08031,CALAF
2022,1101,08034,CALDERS
2021,1063,08034,CALDERS
2020,1045,08034,CALDERS
