Mun,Ncasos_lead,Ncasos_lagroll_15,Ncasos_lagroll_30,nHab,caudal,lluvia,sars_loess,sars_loess_15,sars_loess_30,Month
BARCELONA,2438,1096,737.75,1664182,317575,0.3,35205.834510574976,49926.86454078712,48563.40753089382,07
BARCELONA,2213,1868.5,1219.25,1664182,324759,0,64647.89457099926,77625.59790824815,75671.23143792199,07
BARCELONA,1874,2388,1742,1664182,312062,0,90603.30124549704,101415.59833505687,99300.3922450545,07
BARCELONA,1964,2325.5,2097,1664182,331372,9.6,112227.8954246167,120975.18658186085,121038.06899541998,08
BARCELONA,2077,2043.5,2215.75,1664182,281022,0,129722.47773910502,140660.53965578307,139518.5382428211,08
BARCELONA,2251,1919,2122.25,1664182,281533,0,151598.60157246114,158061.88990378132,147098.37746627783,08
BARCELONA,2046,2020.5,2032,1664182,294440,0,164525.1782351015,153536.2152767726,142600.70012702266,08
BARCELONA,1811,2164,2041.5,1664182,474624,7.2,142547.25231844367,127139.51035026398,125591.22443367876,08
BARCELONA,2322,2148.5,2084.5,1664182,474539,7.2,111731.7683820843,97646.23359058492,99345.22024434728,09
BARCELONA,2100,1928.5,2046.25,1664182,362072,0,83560.69879908554,71550.93013843057,76824.94261867099,09
BARCELONA,2423,2066.5,2107.5,1664182,491723,25.9,59541.1614777756,56003.65164675706,61730.71408966175,09
BARCELONA,3691,2211,2069.75,1664182,389023,0,52466.141815738534,51910.498040892926,56890.50001131237,09
BARCELONA,4770,2261.5,2164,1664182,359795,0,51354.85426604731,57777.348375867674,61488.721784401685,10
BARCELONA,7244,3057,2634,1664182,343375,22,64199.84248568803,71066.94552791043,65859.14741494379,10
BARCELONA,5419,6007,4532,1664182,437274,0,69947.84433790692,65818.19115823512,68529.92728598001,10
BARCELONA,3595,7089,5659.75,1664182,355055,0,61688.53797856331,63118.908117940126,66587.10796320593,11
BARCELONA,2489,6176.5,6091.75,1664182,359000,0,64549.278257316946,67356.02476817672,69621.12719929215,11
BARCELONA,1935,4507,5798,1664182,368208,0,70162.77127903649,76123.34628064418,77698.02873666596,11
BARCELONA,2114,2212,3359.5,1664182,357084,0,93996.14412805848,96115.80577721332,94719.7106772585,11
BARCELONA,3410,1916,2479,1664182,344011,0,98235.46742636815,101399.3886493618,105665.92436410065,12
BARCELONA,3529,2005.5,2108.75,1664182,355248,0,104563.30987235546,115216.04295098796,117794.66693790606,12
BARCELONA,3581,2762,2339,1664182,375992,0,125868.77602962048,134189.9452264503,129999.50256787709,12
BARCELONA,5620,3469.5,2737.5,1664182,344011,0,142511.11442328015,144782.9621847662,140290.00799299096,12
BARCELONA,6586,3555,3158.5,1636732,242530,0,147054.80994625227,146390.0707595316,138940.70203174118,01
BARCELONA,6293,4600.5,4035,1636732,322753,0,145725.33157281094,133098.44187871617,115225.2887548043,01
BARCELONA,5240,6103,4829,1636732,319667,0,120471.55218462137,84060.506750077,89598.69274053861,01
BARCELONA,3311,5766.5,5934.75,1636732,318482,0,47649.46131553262,46098.94360236106,64997.67811944162,02
BARCELONA,2808,4523,5481.25,1636732,424649,2.5,44548.4258891895,45934.84948880624,44114.415030352626,02
BARCELONA,2395,3558.5,4662.5,1636732,329415,0.25,47321.27308842299,42129.88645834419,39353.23245149909,02
BARCELONA,2158,3059.5,3791.25,1636732,542376,3.75,36938.49982826539,32771.615414191925,35670.19152005252,02
