Mun,Ncasos_lead,Ncasos_lagroll_15,Ncasos_lagroll_30,nHab,caudal,lluvia,sars_loess,sars_loess_15,sars_loess_30,Month
BARCELONA,7.798933310041217,7.00033446027523,6.604959568720308,1664182,317575,0.3,10.468995504971385,10.81833453351909,10.790646186254014,07
BARCELONA,7.70210434005105,7.533426294417168,7.106811034767257,1664182,324759,0,11.076726285384048,11.259665403993292,11.234166548323708,07
BARCELONA,7.535830462798367,7.77863014732581,7.463363045520021,1664182,312062,0,11.414256966020025,11.526992048410428,11.505914870529685,07
BARCELONA,7.582738488914411,7.752120271284703,7.6487397889562425,1664182,331372,9.6,11.62829577389305,11.703349000101623,11.703868656722642,08
BARCELONA,7.638679823876112,7.622908539804697,7.703797438260116,1664182,281022,0,11.77316036964487,11.854111855741127,11.845959929524522,08
BARCELONA,7.719129840906732,7.560080465021827,7.660703212660119,1664182,281533,0,11.928998124036962,11.970748270178952,11.898863674536235,08
BARCELONA,7.6236419465115715,7.611595089080826,7.617267813628347,1664182,294440,0,12.010824974733726,11.94169826142422,11.867810709240649,08
BARCELONA,7.501634457883413,7.68017564043659,7.621929826734158,1664182,474624,7.2,11.867435834135488,11.753048134563388,11.740795623724726,08
BARCELONA,7.7501841622578365,7.672990535936337,7.642763913637,1664182,474539,7.2,11.62386530266291,11.489116606058007,11.5063662024082,09
BARCELONA,7.649692623711514,7.565016180977674,7.624252708150298,1664182,362072,0,11.333340545754481,11.178178760699444,11.249297656609986,09
BARCELONA,7.792761720816526,7.634095426897846,7.653732073186615,1664182,491723,25.9,10.994439936863058,10.933190031388232,11.030553082532995,09
BARCELONA,8.213652703029998,7.701652362642226,7.635666139478373,1664182,389023,0,10.867942382464808,10.857295586830864,10.948901224268466,09
BARCELONA,8.470101583882387,7.724225675574081,7.68017564043659,1664182,359795,0,10.846534215986862,10.964369388908798,11.02662531437071,10
BARCELONA,8.887928819003305,8.025516386489008,7.876638460975463,1664182,343375,22,11.069771612421981,11.171391677677066,11.09528879423553,10
BARCELONA,8.597666575566114,8.700847193443972,8.41913925094085,1664182,437274,0,11.155519458697778,11.094666733728952,11.135040415583903,10
BARCELONA,8.187299270155147,8.866440619526173,8.64131167125263,1664182,355055,0,11.029869632769953,11.05279149984601,11.106281281473882,11
BARCELONA,7.819636302367592,8.728668937862766,8.714854818715756,1664182,359000,0,11.07519970699078,11.117762478822208,11.150837715326865,11
BARCELONA,7.5678626054638825,8.413608875159667,8.66544076787644,1664182,368208,0,11.15858737815328,11.240123417528944,11.260598036106002,11
BARCELONA,7.656337166430183,7.70210434005105,8.1198450514100209,1664182,357084,0,11.45101967917421,11.473319457683713,11.458687953016824,11
BARCELONA,8.134467570277563,7.558516743045645,7.8160138391590275,1664182,344011,0,11.495132784126627,11.526832202965817,11.568047202965312,12
BARCELONA,8.16876982367527,7.604147189706971,7.654324736038076,1664182,355248,0,11.557557566579792,11.65457295858443,11.676706766313478,12
BARCELONA,8.183397369998433,7.924072324923417,7.757906208351747,1664182,375992,0,11.743003127905407,11.80701902901125,11.775293595336993,12
BARCELONA,8.634086942887738,8.152053954779639,7.915165604223776,1664182,344011,0,11.867182288574103,11.882997994407091,11.851474172753589,12
BARCELONA,8.792701462936309,8.176391596633795,8.05816906621351,1636732,242530,0,11.898567453206757,11.894036886569554,11.841809714292332,01
