RegioSanitariaCodi,RegioSanitariaDescripcio,SectorSanitariCodi,SectorSanitariDescripcio,ABSCodi
7100,ALT PIRINEU I ARAN,7164,ALT PIRINEU,174
7100,ALT PIRINEU I ARAN,7164,ALT PIRINEU,233
7100,ALT PIRINEU I ARAN,7164,ALT PIRINEU,103
7100,ALT PIRINEU I ARAN,7107,ARAN,7
7100,ALT PIRINEU I ARAN,7164,ALT PIRINEU,169
7100,ALT PIRINEU I ARAN,7164,ALT PIRINEU,259
7803,BARCELONA CIUTAT,7847,BARCELONA SANT MARTÍ,331
7803,BARCELONA CIUTAT,7849,BARCELONA SANTS-MONTJUÏC,32
7803,BARCELONA CIUTAT,7846,BARCELONA CIUTAT VELLA,20
7803,BARCELONA CIUTAT,7851,BARCELONA EIXAMPLE,22
7803,BARCELONA CIUTAT,7850,BARCELONA SARRIÀ-SANT GERVASI,46
7803,BARCELONA CIUTAT,7851,BARCELONA EIXAMPLE,27
7803,BARCELONA CIUTAT,7854,BARCELONA NOU BARRIS,402
7803,BARCELONA CIUTAT,7851,BARCELONA EIXAMPLE,23
7803,BARCELONA CIUTAT,7853,BARCELONA HORTA-GUINARDÓ,54
7803,BARCELONA CIUTAT,7853,BARCELONA HORTA-GUINARDÓ,326
7803,BARCELONA CIUTAT,7847,BARCELONA SANT MARTÍ,79
7803,BARCELONA CIUTAT,7851,BARCELONA EIXAMPLE,28
7803,BARCELONA CIUTAT,7854,BARCELONA NOU BARRIS,63
7803,BARCELONA CIUTAT,7854,BARCELONA NOU BARRIS,62
7803,BARCELONA CIUTAT,7851,BARCELONA EIXAMPLE,29
7803,BARCELONA CIUTAT,7849,BARCELONA SANTS-MONTJUÏC,34
7803,BARCELONA CIUTAT,7852,BARCELONA GRÀCIA,47
7803,BARCELONA CIUTAT,7846,BARCELONA CIUTAT VELLA,19
7803,BARCELONA CIUTAT,7851,BARCELONA EIXAMPLE,21
7803,BARCELONA CIUTAT,7853,BARCELONA HORTA-GUINARDÓ,51
7803,BARCELONA CIUTAT,7844,VALLÈS OCCIDENTAL EST,302
